name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"New York City,USA",2018-01-01T00:00:00,-10.8,-16.6,-15.9,66.03,0,0,,0,0,31.7,11.4,305,1026.4,0,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC"
"New York City,USA",2018-01-01T01:00:00,-11.2,-16.6,-17.3,60.69,0,0,,0,0,33.5,9.8,304,1026.5,0,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC"
"New York City,USA",2018-01-01T02:00:00,-11.7,-16.5,-17.3,63.02,0,0,,0,0,32.5,8.2,295,1026.8,0,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC"
"New York City,USA",2018-01-01T03:00:00,-11.7,-16.5,-17.3,63.17,0,0,,0,0,31.7,8.1,310,1027.2,0,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC"
"New York City,USA",2018-01-01T04:00:00,-11.7,-17.8,-17.4,63.01,0,0,,0,0,,11.3,308,1027.2,0,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC"
"New York City,USA",2018-01-01T05:00:00,-11.7,-15.5,-16.4,68.44,0,0,,0,0,33.5,6,300,1027.8,0,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC"
"New York City,USA",2018-01-01T06:00:00,-12.2,-18.3,-16.8,68.5,0,0,,0,0,,11.2,251,1027.8,0,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC"
"New York City,USA",2018-01-01T07:00:00,-12.2,-16.1,-16.8,68.5,0,0,,0,0,44.6,6,300,1028,0.2,16,17.1,0.1,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC"
"New York City,USA",2018-01-01T08:00:00,-11.8,-16.5,-15.9,71.54,0,0,,0,0,27.7,7.9,320,1028.1,0,16,17,0.1,0,,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC"
"New York City,USA",2018-01-01T09:00:00,-10.8,-15.3,-14.6,73.41,0,0,,0,0,51.8,7.9,294,1028.5,4.4,14.1,115,0.4,1,,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC"
